,cleanwords
625,had
626,been
627,appear
628,have
629,learned
630,duties
631,soldier
632,acquainted
633,ordinary
634,drill
635,necessities
636,soldier
637,life
638,enter
639,household
640,find
641,child
642,play
643,life
644,ease
645,comfort
646,spare
647,spare
648,officers
649,immediately
650,regiment
651,learn
652,duties
653,regimental
654,officer
655,have
656,opportunities
657,learning
658,art
659,war
660,day
661,becoming
662,distinguished
663,officer
664,supposing
665,shot
666,battle
667,die
668,fatigue
669,hardship
670,choose
671,sir
672,goodness
673,world
674,service
675,general
676,obtain
677,appointment
678,lieutenant
679,attached
680,household
681,simply
682,have
683,carry
684,messages
685,have
686,learnt
687,character
688,employ
689,trust
690,sergeant
691,purse
692,contents
693,furnishing
694,lad
695,clothes
696,suitable
697,position
698,call
699,days
700,hotel
701,duc
702,de
703,bouillon
704,staying
705,ride
706,asked
707,suddenly
708,sir
709,see
710,matter
711,horse
712,leaving
713,end
714,week
715,join
716,army
717,italy
718,remember
719,lad
720,added
721,smile
722,learner
723,art
724,war
725,nso
726,nodded
727,kindly
728,sergeant
729,returned
730,salute
731,soldiers
732,mounted
733,horse
734,orderly
735,holding
736,rode
737,sergeant
738,hector
739,had
740,followed
741,viscount
742,turenne
743,visit
744,cabaret
745,soldier
746,have
747,deigned
748,offer
749,position
750,household
751,scarce
752,believe
753,dreaming
754,have
755,gained
756,favour
757,ashamed
758,sergeant
759,gained
760,presumption
761,know
762,insolence
763,party
764,having
765,mimic
766,battle
767,acting
768,regiment
769,turenne
770,storming
771,la
772,motte
773,command
774,acting
775,turenne
776,gentleman
777,appearance
778,age
779,fact
780,troopers
781,rode
782,took
783,captain
784,army
785,questioned
786,told
787,talked
788,turenne
789,thought
790,greatest
791,general
792,turenne
793,learner
794,art
795,war
796,upheld
797,spoke
798,battles
799,sieges
800,had
801,part
802,asked
803,told
804,birth
805,bringing
806,assistance
807,call
808,see
809,passes
810,belief
811,hector
812,boy
813,have
814,dared
815,enter
816,argument
817,officer
818,believed
819,captain
820,has
821,having
822,laid
823,whip
824,back
825,deserved
826,fortune
827,made
828,lad
829,behave
830,turenne
831,great
832,soldier
833,have
834,heard
835,loved
836,men
837,general
838,regiment
839,nineteen
840,obtained
841,command
842,admitted
843,drilled
844,disciplined
845,service
846,spent
847,time
848,drilling
849,had
850,been
851,lieutenant
852,sword
853,fortune
854,great
855,noble
856,de
857,la
858,valette
859,weimar
860,army
861,had
862,fall
863,back
864,nigh
865,starved
866,turenne
867,sold
868,plate
869,carriages
870,buy
871,food
872,men
873,had
874,baggage
875,thrown
876,wagons
877,make
878,room
879,weak
880,march
881,occasion
882,gave
883,horse
884,soldier
885,sinking
886,fatigue
887,hunger
888,marched
889,foot
890,leads
891,troops
892,battle
893,goes
894,follow
895,spare
896,soldiers
897,believe
898,sleep
899,campaign
900,going
901,round
902,seeing
903,order
904,outposts
905,properly
906,vigilant
907,soldiers
908,have
909,food
910,comfort
911,obtained
912,go
913,comrades
914,good
915,fortune
916,man
917,regiment
918,glad
919,hear
920,go
921,colonel
922,lodging
923,sergeant
924,word
925,folly
926,general
927,coming
928,party
929,playing
930,war
931,questioned
932,finding
933,son
934,scottish
935,officer
936,had
937,been
938,killed
939,la
940,rochelle
941,had
942,worked
943,hard
944,getting
945,history
946,wars
947,longed
948,go
949,army
950,had
951,promised
952,round
953,day
954,aid
955,understand
956,lad
957,foolishness
958,known
959,nthe
960,colonel
961,greatly
962,pleased
963,heard
964,had
965,happened
966,had
967,intended
968,have
969,asked
970,commission
971,couple
972,years
973,older
974,hector
975,means
976,getting
977,cardinal
978,partial
979,regiment
980,turenne
981,stands
982,high
983,favour
984,spite
985,fact
986,brother
987,duc
988,de
989,bouillon
990,has
991,left
992,richelieu
993,party
994,regarded
995,enemy
996,commission
997,signed
998,officers
999,regiment
1000,tonight
1001,rejoice
1002,father
1003,son
1004,has
1005,met
1006,good
1007,fortune
1008,assuredly
1009,have
1010,entered
1011,army
1012,auspices
1013,turenne
1014,have
1015,forward
1016,assist
1017,son
1018,brave
1019,soldier
1020,killed
1021,action
1022,rule
1023,officers
1024,army
1025,concern
1026,affairs
1027,soldiers
1028,command
1029,course
1030,regiment
1031,have
1032,gentlemen
1033,known
1034,scottish
1035,families
1036,serving
1037,ranks
1038,clansmen
1039,dales
1040,cling
1041,countrymen
1042,strangers
1043,regard
1044,strangers
1045,seeing
1046,scotland
1047,france
1048,have
1049,been
1050,allies
1051,queen
1052,mary
1053,french
1054,princess
1055,scotland
1056,has
1057,given
1058,kings
1059,england
1060,english
1061,troops
1062,fought
1063,side
1064,side
1065,french
1066,henry
1067,navarre
1068,spaniards
1069,guises
1070,strict
1071,alliance
1072,alike
1073,enemies
1074,spaniards
1075,scarce
1076,feel
1077,strangers
1078,french
1079,princess
1080,wife
1081,king
1082,charles
1083,england
1084,france
1085,has
1086,altogether
1087,forgotten
1088,long
1089,wars
1090,story
1091,long
1092,spain
1093,threatens
1094,extend
1095,power
1096,europe
1097,long
1098,remain
1099,good
1100,friends
1101,power
1102,spain
1103,broken
1104,quarrels
1105,break
1106,trust
1107,time
1108,assuredly
1109,regiment
1110,fight
1111,enemies
1112,france
1113,refuse
1114,march
1115,countrymen
1116,sergeant
1117,macintosh
1118,know
1119,anxious
1120,get
1121,back
1122,inn
1123,have
1124,busy
1125,time
1126,afternoon
1127,greatly
1128,mistaken
1129,leave
1130,campbell
1131,place
1132,fun
1133,get
1134,fast
1135,furious
1136,man
1137,regiment
1138,knew
1139,father
1140,drinking
1141,lad
1142,health
1143,go
1144,tomorrow
1145,barracks
1146,shake
1147,hands
1148,have
1149,boy
1150,stayed
1151,account
1152,see
1153,fitted
1154,matter
1155,touches
1156,honour
1157,regiment
1158,son
1159,comrade
1160,make
1161,fair
1162,show
1163,household
1164,viscount
1165,general
1166,has
1167,left
1168,purse
1169,purpose
1170,colonel
1171,kindly
1172,thought
1173,lad
1174,start
1175,pocket
1176,duty
1177,see
1178,has
1179,befitting
1180,father
1181,son
1182,nas
1183,sergeant
1184,left
1185,colonel
1186,campbell
1187,go
1188,anteroom
1189,ready
1190,go
1191,half
1192,hour
1193,norderlies
1194,despatched
1195,officers
1196,lodgings
1197,minutes
1198,assembled
1199,colonel
1200,told
1201,had
1202,happened
1203,opinion
1204,concerned
1205,honour
1206,regiment
1207,see
1208,comrade
1209,son
1210,properly
1211,equipped
1212,had
1213,known
1214,captain
1215,campbell
1216,greatly
1217,pleased
1218,news
1219,dissenting
1220,voice
1221,colonel
1222,proposed
1223,general
1224,subscription
1225,days
1226,pay
1227,captain
1228,campbell
1229,friends
1230,gave
1231,larger
1232,amount
1233,total
1234,amply
1235,sufficient
1236,equipment
1237,young
1238,man
1239,good
1240,family
1241,joining
1242,army
